"";"squads_player_id";"squads_tournament_id";"squads_team_id";"squads_shirt_number";"squads_position_name";"players_family_name";"players_given_name";"players_birth_date";"players_female";"players_goal_keeper";"players_defender";"players_midfielder";"players_forward"
"1";"P-00020";"WC-2007";"T-12";11;"defender";"Hermus";"Randee";"1979-11-14";1;0;1;0;0
"2";"P-00020";"WC-2003";"T-12";11;"defender";"Hermus";"Randee";"1979-11-14";1;0;1;0;0
"3";"P-00034";"WC-1998";"T-73";11;"forward";"Alfonso";"not applicable";"1972-09-26";0;0;0;0;1
"4";"P-00036";"WC-1974";"T-48";19;"defender";"Strik";"Pleun";"1944-05-27";0;0;1;0;0
"5";"P-00042";"WC-1954";"T-87";18;"forward";"Milutinović";"Miloš";"1933-02-05";0;0;0;0;1
"6";"P-00042";"WC-1958";"T-87";7;"forward";"Milutinović";"Miloš";"1933-02-05";0;0;0;0;1
"7";"P-00052";"WC-2022";"T-59";2;"defender";"Ró-Ró";"not applicable";"1990-08-06";0;0;1;0;0
"8";"P-00064";"WC-2015";"T-30";12;"midfielder";"Thomis";"Élodie";"1986-08-13";1;0;0;1;1
"9";"P-00064";"WC-2011";"T-30";12;"forward";"Thomis";"Élodie";"1986-08-13";1;0;0;1;1
"10";"P-00065";"WC-2002";"T-03";10;"midfielder";"Ortega";"Ariel";"1974-03-04";0;0;0;1;0
"11";"P-00065";"WC-1994";"T-03";17;"midfielder";"Ortega";"Ariel";"1974-03-04";0;0;0;1;0
"12";"P-00065";"WC-1998";"T-03";10;"midfielder";"Ortega";"Ariel";"1974-03-04";0;0;0;1;0
"13";"P-00077";"WC-2006";"T-77";19;"defender";"Assemoassa";"Ludovic";"1980-09-18";0;0;1;0;0
"14";"P-00081";"WC-1990";"T-28";21;"forward";"Bull";"Steve";"1965-03-28";0;0;0;0;1
"15";"P-00083";"WC-2015";"T-46";3;"defender";"Murillo";"Christina";"1993-01-28";1;0;1;0;0
"16";"P-00086";"WC-1970";"T-27";2;"defender";"Rivas";"Roberto";"1941-07-17";0;0;1;0;0
"17";"P-00105";"WC-2002";"T-60";8;"midfielder";"Holland";"Matt";"1974-04-11";0;0;0;1;0
"18";"P-00109";"WC-1998";"T-06";8;"forward";"Oliveira";"Luís";"1969-03-24";0;0;0;0;1
"19";"P-00111";"WC-2018";"T-38";7;"midfielder";"Shojaei";"Masoud";"1984-06-09";0;0;0;1;0
"20";"P-00111";"WC-2014";"T-38";7;"midfielder";"Shojaei";"Masoud";"1984-06-09";0;0;0;1;0
"21";"P-00111";"WC-2006";"T-38";23;"midfielder";"Shojaei";"Masoud";"1984-06-09";0;0;0;1;0
"22";"P-00116";"WC-1982";"T-72";20;"defender";"Romantsev";"Oleg";"1954-01-04";0;0;1;0;0
"23";"P-00119";"WC-1974";"T-41";11;"forward";"Riva";"Gigi";"1944-11-07";0;0;0;0;1
"24";"P-00119";"WC-1970";"T-41";11;"forward";"Riva";"Gigi";"1944-11-07";0;0;0;0;1
"25";"P-00137";"WC-2011";"T-16";5;"defender";"Arias";"Nataly";"1986-04-02";1;0;1;0;0
"26";"P-00137";"WC-2015";"T-16";14;"defender";"Arias";"Nataly";"1986-04-02";1;0;1;0;0
"27";"P-00146";"WC-1986";"T-57";4;"defender";"Ostrowski";"Marek";"1959-11-22";0;0;1;0;0
"28";"P-00148";"WC-2010";"T-44";2;"midfielder";"Abe";"Yuki";"1981-09-06";0;0;0;1;0
"29";"P-00152";"WC-1954";"T-41";8;"forward";"Pandolfini";"Egisto";"1926-02-19";0;0;0;0;1
"30";"P-00152";"WC-1950";"T-41";0;"forward";"Pandolfini";"Egisto";"1926-02-19";0;0;0;0;1
"31";"P-00153";"WC-1990";"T-87";18;"defender";"Baljić";"Mirsad";"1962-03-04";0;0;1;0;0
"32";"P-00189";"WC-1998";"T-64";7;"forward";"Gallacher";"Kevin";"1966-11-23";0;0;0;0;1
"33";"P-00212";"WC-2002";"T-22";1;"goal keeper";"Sørensen";"Thomas";"1976-06-12";0;1;0;0;0
"34";"P-00212";"WC-2010";"T-22";1;"goal keeper";"Sørensen";"Thomas";"1976-06-12";0;1;0;0;0
"35";"P-00232";"WC-2022";"T-84";23;"goal keeper";"Rochet";"Sergio";"1993-03-23";0;1;0;0;0
"36";"P-00234";"WC-1990";"T-82";17;"goal keeper";"Musabah";"Muhsin";"1964-10-01";0;1;0;0;0
"37";"P-00244";"WC-2022";"T-75";20;"midfielder";"Frei";"Fabian";"1989-01-08";0;0;0;1;0
"38";"P-00262";"WC-1974";"T-87";3;"defender";"Hadžiabdić";"Enver";"1945-11-06";0;0;1;0;0
"39";"P-00266";"WC-1994";"T-61";21;"forward";"Ivan";"Marian";"1969-01-06";0;0;0;0;1
"40";"P-00279";"WC-1938";"T-09";0;"midfielder";"Afonsinho";"not applicable";"1914-03-08";0;0;0;1;0
"41";"P-00281";"WC-1938";"T-31";0;"midfielder";"Mock";"Hans";"1906-12-09";0;0;0;1;0
"42";"P-00300";"WC-1958";"T-28";17;"forward";"Brabrook";"Peter";"1937-11-08";0;0;0;0;1
"43";"P-00315";"WC-1998";"T-38";22;"goal keeper";"Boroumand";"Parviz";"1972-09-11";0;1;0;0;0
"44";"P-00325";"WC-2011";"T-29";5;"midfielder";"Cris";"not applicable";"1985-12-12";1;0;0;1;0
"45";"P-00336";"WC-2015";"T-48";11;"forward";"Martens";"Lieke";"1992-12-16";1;0;0;0;1
"46";"P-00336";"WC-2019";"T-48";11;"forward";"Martens";"Lieke";"1992-12-16";1;0;0;0;1
"47";"P-00339";"WC-2018";"T-73";9;"forward";"Rodrigo";"not applicable";"1991-03-06";0;0;0;0;1
"48";"P-00356";"WC-1934";"T-06";0;"defender";"Joacim";"Constant";"1908-03-03";0;0;1;0;0
"49";"P-00369";"WC-1930";"T-07";0;"midfielder";"Sáinz";"Renato";"1899-12-14";0;0;0;1;0
"50";"P-00384";"WC-2006";"T-32";13;"defender";"Mohamed";"Habib";"1983-12-10";0;0;1;0;0
"51";"P-00386";"WC-2003";"T-03";6;"defender";"López";"Noelia";"1978-07-29";1;0;1;0;0
"52";"P-00390";"WC-1954";"T-71";3;"defender";"Park";"Jae-seung";"1923-04-01";0;0;1;0;0
"53";"P-00393";"WC-2011";"T-49";5;"defender";"Erceg";"Abby";"1989-11-20";1;0;1;0;0
"54";"P-00393";"WC-2019";"T-49";8;"defender";"Erceg";"Abby";"1989-11-20";1;0;1;0;0
"55";"P-00393";"WC-2007";"T-49";5;"defender";"Erceg";"Abby";"1989-11-20";1;0;1;0;0
"56";"P-00393";"WC-2015";"T-49";5;"defender";"Erceg";"Abby";"1989-11-20";1;0;1;0;0
"57";"P-00429";"WC-2006";"T-55";2;"defender";"Núñez";"Jorge";"1978-01-22";0;0;1;0;0
"58";"P-00436";"WC-1995";"T-50";14;"defender";"Ebimiekumo";"Phoebe";"1974-01-17";1;0;1;0;0
"59";"P-00436";"WC-1991";"T-50";14;"defender";"Ebimiekumo";"Phoebe";"1974-01-17";1;0;1;0;0
"60";"P-00439";"WC-1958";"T-64";1;"goal keeper";"Younger";"Tommy";"1930-04-10";0;1;0;0;0
"61";"P-00445";"WC-1986";"T-22";15;"midfielder";"Arnesen";"Frank";"1956-09-30";0;0;0;1;0
"62";"P-00447";"WC-2002";"T-28";20;"forward";"Vassell";"Darius";"1980-06-13";0;0;0;0;1
"63";"P-00452";"WC-1958";"T-85";21;"midfielder";"Allchurch";"Len";"1933-09-12";0;0;0;1;0
"64";"P-00465";"WC-2022";"T-30";15;"midfielder";"Veretout";"Jordan";"1993-03-01";0;0;0;1;0
"65";"P-00471";"WC-2015";"T-83";3;"defender";"Rampone";"Christie";"1975-06-24";1;0;1;0;0
"66";"P-00471";"WC-2003";"T-83";3;"defender";"Rampone";"Christie";"1975-06-24";1;0;1;0;0
"67";"P-00471";"WC-1999";"T-83";3;"defender";"Rampone";"Christie";"1975-06-24";1;0;1;0;0
"68";"P-00471";"WC-2011";"T-83";3;"defender";"Rampone";"Christie";"1975-06-24";1;0;1;0;0
"69";"P-00471";"WC-2007";"T-83";3;"defender";"Rampone";"Christie";"1975-06-24";1;0;1;0;0
"70";"P-00476";"WC-2007";"T-51";14;"defender";"Jang";"Yong-ok";"1982-09-17";1;0;1;0;0
"71";"P-00480";"WC-1966";"T-51";6;"midfielder";"Im";"Seung-hwi";"1946-02-03";0;0;0;1;0
"72";"P-00489";"WC-1986";"T-84";22;"goal keeper";"Otero";"Celso";"1958-02-01";0;1;0;0;0
"73";"P-00506";"WC-1950";"T-75";0;"goal keeper";"Stuber";"Georges";"1925-05-11";0;1;0;0;0
"74";"P-00506";"WC-1954";"T-75";3;"goal keeper";"Stuber";"Georges";"1925-05-11";0;1;0;0;0
"75";"P-00521";"WC-2018";"T-58";19;"defender";"Rui";"Mário";"1991-05-27";0;0;1;0;0
"76";"P-00522";"WC-1998";"T-16";17;"midfielder";"Estrada";"Andrés";"1967-11-12";0;0;0;1;0
"77";"P-00531";"WC-1990";"T-06";1;"goal keeper";"Preud'homme";"Michel";"1959-01-24";0;1;0;0;0
"78";"P-00531";"WC-1994";"T-06";1;"goal keeper";"Preud'homme";"Michel";"1959-01-24";0;1;0;0;0
"79";"P-00548";"WC-2010";"T-69";22;"defender";"Mavrič";"Matej";"1979-01-29";0;0;1;0;0
"80";"P-00549";"WC-2018";"T-57";9;"forward";"Lewandowski";"Robert";"1988-08-21";0;0;0;0;1
"81";"P-00549";"WC-2022";"T-57";9;"forward";"Lewandowski";"Robert";"1988-08-21";0;0;0;0;1
"82";"P-00556";"WC-1999";"T-53";17;"midfielder";"Rapp";"Anita";"1977-07-24";1;0;0;1;1
"83";"P-00556";"WC-2003";"T-53";9;"forward";"Rapp";"Anita";"1977-07-24";1;0;0;1;1
"84";"P-00573";"WC-1999";"T-41";8;"midfielder";"Tesse";"Manuela";"1976-02-28";1;0;0;1;0
"85";"P-00577";"WC-1958";"T-09";15;"defender";"Orlando";"not applicable";"1935-09-20";0;0;1;0;0
"86";"P-00577";"WC-1966";"T-09";7;"defender";"Orlando";"not applicable";"1935-09-20";0;0;1;0;0
"87";"P-00585";"WC-2006";"T-63";6;"midfielder";"Al-Ghamdi";"Omar";"1979-04-11";0;0;0;1;0
"88";"P-00585";"WC-2002";"T-63";19;"midfielder";"Al-Ghamdi";"Omar";"1979-04-11";0;0;0;1;0
"89";"P-00596";"WC-2014";"T-01";23;"goal keeper";"M'Bolhi";"Raïs";"1986-04-25";0;1;0;0;0
"90";"P-00596";"WC-2010";"T-01";23;"goal keeper";"M'Bolhi";"Raïs";"1986-04-25";0;1;0;0;0
"91";"P-00597";"WC-2022";"T-47";24;"defender";"Benoun";"Badr";"1993-09-30";0;0;1;0;0
"92";"P-00618";"WC-1950";"T-84";0;"midfielder";"Ortuño";"Washington";"1928-05-13";0;0;0;1;0
"93";"P-00619";"WC-1994";"T-73";7;"forward";"Goikoetxea";"Andoni";"1965-10-21";0;0;0;0;1
"94";"P-00640";"WC-2006";"T-79";5;"forward";"Jaziri";"Ziad";"1978-07-12";0;0;0;0;1
"95";"P-00640";"WC-2002";"T-79";5;"forward";"Jaziri";"Ziad";"1978-07-12";0;0;0;0;1
"96";"P-00643";"WC-1986";"T-30";9;"midfielder";"Fernández";"Luis";"1959-10-02";0;0;0;1;0
"97";"P-00649";"WC-2002";"T-69";21;"forward";"Cimirotič";"Sebastjan";"1974-09-14";0;0;0;0;1
"98";"P-00652";"WC-2022";"T-03";2;"defender";"Foyth";"Juan";"1998-01-12";0;0;1;0;0
"99";"P-00668";"WC-1998";"T-79";12;"forward";"Melki";"Mourad";"1975-05-09";0;0;0;1;1
"100";"P-00668";"WC-2002";"T-79";21;"midfielder";"Melki";"Mourad";"1975-05-09";0;0;0;1;1
"101";"P-00683";"WC-2002";"T-63";20;"forward";"Al-Yami";"Al Hasan";"1972-08-21";0;0;0;0;1
"102";"P-00685";"WC-1986";"T-39";17;"forward";"Abid";"Anad";"1955-08-03";0;0;0;0;1
"103";"P-00707";"WC-1982";"T-87";15;"defender";"Hrstić";"Miloš";"1955-11-20";0;0;1;0;0
"104";"P-00708";"WC-1930";"T-09";0;"midfielder";"Fernando";"not applicable";"1906-03-01";0;0;0;1;0
"105";"P-00733";"WC-1930";"T-83";0;"forward";"Gentle";"James";"1904-07-21";0;0;0;0;1
"106";"P-00739";"WC-1974";"T-88";16;"defender";"Mialo";"Mwape";"1951-12-30";0;0;1;0;0
"107";"P-00740";"WC-1938";"T-74";0;"midfielder";"Svanström";"Kurt";"1915-03-24";0;0;0;1;0
"108";"P-00746";"WC-1970";"T-74";18;"forward";"Turesson";"Tom";"1942-05-17";0;0;0;0;1
"109";"P-00747";"WC-1962";"T-13";1;"goal keeper";"Escuti";"Misael";"1926-12-20";0;1;0;0;0
"110";"P-00781";"WC-2018";"T-17";9;"midfielder";"Colindres";"Daniel";"1985-01-10";0;0;0;1;0
"111";"P-00793";"WC-1962";"T-75";12;"forward";"Vonlanthen";"Marcel";"1933-09-08";0;0;0;0;1
"112";"P-00795";"WC-1982";"T-36";20;"defender";"Csuhay";"József";"1957-07-12";0;0;1;0;0
"113";"P-00795";"WC-1986";"T-36";12;"defender";"Csuhay";"József";"1957-07-12";0;0;1;0;0
"114";"P-00796";"WC-1982";"T-52";22;"goal keeper";"Dunlop";"George";"1956-01-16";0;1;0;0;0
"115";"P-00809";"WC-2022";"T-12";23;"midfielder";"Millar";"Liam";"1999-09-27";0;0;0;1;0
"116";"P-00820";"WC-2011";"T-53";15;"defender";"Gardsjord";"Hedda Strand";"1982-06-28";1;0;1;0;0
"117";"P-00836";"WC-1966";"T-75";17;"forward";"Schindelholz";"Jean-Claude";"1940-10-11";0;0;0;0;1
"118";"P-00848";"WC-1998";"T-16";3;"defender";"Palacios";"Ever";"1969-01-18";0;0;1;0;0
"119";"P-00855";"WC-1966";"T-03";1;"goal keeper";"Roma";"Antonio";"1932-07-13";0;1;0;0;0
"120";"P-00855";"WC-1962";"T-03";1;"goal keeper";"Roma";"Antonio";"1932-07-13";0;1;0;0;0
"121";"P-00867";"WC-1966";"T-03";7;"defender";"Marzolini";"Silvio";"1940-10-04";0;0;1;0;0
"122";"P-00867";"WC-1962";"T-03";3;"defender";"Marzolini";"Silvio";"1940-10-04";0;0;1;0;0
"123";"P-00875";"WC-2014";"T-75";14;"midfielder";"Stocker";"Valentin";"1989-04-12";0;0;0;1;0
"124";"P-00891";"WC-1978";"T-74";9;"midfielder";"Larsson";"Lennart";"1953-07-09";0;0;0;1;0
"125";"P-00916";"WC-2006";"T-30";11;"forward";"Wiltord";"Sylvain";"1974-05-10";0;0;0;0;1
"126";"P-00916";"WC-2002";"T-30";11;"forward";"Wiltord";"Sylvain";"1974-05-10";0;0;0;0;1
"127";"P-00941";"WC-1962";"T-73";22;"midfielder";"Vergés";"Martí";"1934-03-08";0;0;0;1;0
"128";"P-00957";"WC-2010";"T-01";3;"defender";"Belhadj";"Nadir";"1982-06-18";0;0;1;0;0
"129";"P-00981";"WC-2018";"T-03";6;"defender";"Fazio";"Federico";"1987-03-17";0;0;1;0;0
"130";"P-00987";"WC-1962";"T-73";7;"defender";"Echeberría";"Luis María";"1940-03-24";0;0;1;0;0
"131";"P-01012";"WC-2010";"T-69";9;"forward";"Ljubijankić";"Zlatan";"1983-12-15";0;0;0;0;1
"132";"P-01013";"WC-1966";"T-41";3;"midfielder";"Barison";"Paolo";"1936-06-23";0;0;0;1;0
"133";"P-01018";"WC-2002";"T-57";22;"goal keeper";"Matysek";"Adam";"1968-07-19";0;1;0;0;0
"134";"P-01019";"WC-2019";"T-43";2;"defender";"Silver";"Lauren";"1993-03-22";1;0;1;0;0
"135";"P-01039";"WC-2007";"T-50";3;"defender";"Yusuf";"Ayisat";"1985-03-06";1;0;1;0;0
"136";"P-01045";"WC-2010";"T-41";18;"forward";"Quagliarella";"Fabio";"1983-01-31";0;0;0;0;1
"137";"P-01062";"WC-2007";"T-32";14;"forward";"Tahiru";"Rumanatu";"1984-06-04";1;0;0;0;1
"138";"P-01064";"WC-2014";"T-33";1;"goal keeper";"Karnezis";"Orestis";"1985-07-11";0;1;0;0;0
"139";"P-01068";"WC-2014";"T-16";21;"forward";"Martínez";"Jackson";"1986-10-03";0;0;0;0;1
"140";"P-01077";"WC-2022";"T-59";17;"defender";"Mohammad";"Ismaeel";"1990-04-05";0;0;1;0;0
"141";"P-01078";"WC-2014";"T-41";17;"forward";"Immobile";"Ciro";"1990-02-20";0;0;0;0;1
"142";"P-01092";"WC-2015";"T-16";23;"forward";"González";"Manuela";"1995-08-29";1;0;0;0;1
"143";"P-01096";"WC-2015";"T-74";19;"forward";"Lundh";"Emma";"1989-06-26";1;0;0;0;1
"144";"P-01106";"WC-1950";"T-28";0;"defender";"Scott";"Laurie";"1917-04-23";0;0;1;0;0
"145";"P-01116";"WC-1950";"T-55";0;"defender";"González";"Alberto";"not available";0;0;1;0;0
"146";"P-01137";"WC-1998";"T-61";7;"forward";"Lăcătuș";"Marius";"1964-04-05";0;0;0;0;1
"147";"P-01137";"WC-1990";"T-61";7;"forward";"Lăcătuș";"Marius";"1964-04-05";0;0;0;0;1
"148";"P-01164";"WC-2014";"T-50";10;"midfielder";"Mikel";"John Obi";"1987-04-22";0;0;0;1;0
"149";"P-01164";"WC-2018";"T-50";10;"midfielder";"Mikel";"John Obi";"1987-04-22";0;0;0;1;0
"150";"P-01165";"WC-1982";"T-57";10;"defender";"Majewski";"Stefan";"1956-01-31";0;0;1;0;0
"151";"P-01165";"WC-1986";"T-57";10;"defender";"Majewski";"Stefan";"1956-01-31";0;0;1;0;0
"152";"P-01169";"WC-2014";"T-83";9;"forward";"Jóhannsson";"Aron";"1990-11-10";0;0;0;0;1
"153";"P-01172";"WC-1970";"T-10";14;"defender";"Zhechev";"Dobromir";"1942-11-12";0;0;1;0;0
"154";"P-01172";"WC-1974";"T-10";3;"defender";"Zhechev";"Dobromir";"1942-11-12";0;0;1;0;0
"155";"P-01172";"WC-1962";"T-10";12;"defender";"Zhechev";"Dobromir";"1942-11-12";0;0;1;0;0
"156";"P-01172";"WC-1966";"T-10";6;"defender";"Zhechev";"Dobromir";"1942-11-12";0;0;1;0;0
"157";"P-01173";"WC-1958";"T-36";9;"forward";"Hidegkuti";"Nándor";"1922-03-03";0;0;0;0;1
"158";"P-01173";"WC-1954";"T-36";9;"forward";"Hidegkuti";"Nándor";"1922-03-03";0;0;0;0;1
"159";"P-01196";"WC-2022";"T-18";5;"defender";"Erlić";"Martin";"1998-01-24";0;0;1;0;0
"160";"P-01211";"WC-1958";"T-46";14;"forward";"Gutiérrez";"Miguel";"1931-05-07";0;0;0;0;1
"161";"P-01212";"WC-2010";"T-83";21;"defender";"Goodson";"Clarence";"1982-05-17";0;0;1;0;0
"162";"P-01224";"WC-1990";"T-26";17;"forward";"Shawky";"Ayman";"1962-12-09";0;0;0;0;1
"163";"P-01235";"WC-1966";"T-10";14;"forward";"Kotkov";"Nikola";"1938-12-09";0;0;0;0;1
"164";"P-01246";"WC-1934";"T-26";0;"midfielder";"Rafaat";"Ismail";"1908-01-01";0;0;0;1;0
"165";"P-01247";"WC-2019";"T-13";20;"forward";"Zamora";"Daniela";"1990-11-13";1;0;0;0;1
"166";"P-01249";"WC-1998";"T-28";21;"defender";"Ferdinand";"Rio";"1978-11-07";0;0;1;0;0
"167";"P-01249";"WC-2006";"T-28";5;"defender";"Ferdinand";"Rio";"1978-11-07";0;0;1;0;0
"168";"P-01249";"WC-2002";"T-28";5;"defender";"Ferdinand";"Rio";"1978-11-07";0;0;1;0;0
"169";"P-01256";"WC-1998";"T-10";15;"defender";"Zafirov";"Adalbert";"1969-09-29";0;0;1;0;0
"170";"P-01258";"WC-2022";"T-59";3;"midfielder";"Hassan";"Abdelkarim";"1993-08-28";0;0;0;1;0
"171";"P-01259";"WC-1990";"T-17";11;"forward";"Jara";"Claudio";"1959-05-06";0;0;0;0;1
"172";"P-01272";"WC-1999";"T-53";3;"defender";"Kringen";"Gøril";"1972-01-28";1;0;1;0;0
"173";"P-01275";"WC-1991";"T-74";12;"goal keeper";"Olsson";"Ing-Marie";"1966-02-23";1;1;0;0;0
"174";"P-01278";"WC-1930";"T-13";0;"goal keeper";"Cortés";"Roberto";"1905-02-02";0;1;0;0;0
"175";"P-01287";"WC-1966";"T-28";19;"forward";"Paine";"Terry";"1939-03-23";0;0;0;0;1
"176";"P-01292";"WC-2014";"T-41";14;"midfielder";"Aquilani";"Alberto";"1984-07-07";0;0;0;1;0
"177";"P-01298";"WC-1990";"T-87";6;"defender";"Jozić";"Davor";"1960-09-22";0;0;1;0;0
"178";"P-01302";"WC-2019";"T-11";8;"midfielder";"Feudjio";"Raissa";"1995-10-29";1;0;0;1;0
"179";"P-01302";"WC-2015";"T-11";8;"midfielder";"Feudjio";"Raissa";"1995-10-29";1;0;0;1;0
"180";"P-01311";"WC-2002";"T-41";20;"forward";"Montella";"Vincenzo";"1974-06-18";0;0;0;0;1
"181";"P-01320";"WC-2019";"T-44";20;"forward";"Yokoyama";"Kumi";"1993-08-13";1;0;0;0;1
"182";"P-01321";"WC-2011";"T-29";21;"defender";"Chapeh";"Laetitia";"1987-04-07";1;0;1;0;0
"183";"P-01347";"WC-2018";"T-50";2;"defender";"Idowu";"Brian";"1992-05-18";0;0;1;0;0
"184";"P-01355";"WC-1998";"T-64";21;"goal keeper";"Gould";"Jonathan";"1968-07-18";0;1;0;0;0
"185";"P-01357";"WC-1950";"T-41";0;"midfielder";"Remondini";"Leandro";"1917-11-17";0;0;0;1;0
"186";"P-01364";"WC-1998";"T-50";2;"defender";"Oparaku";"Mobi";"1976-12-01";0;0;1;0;0
"187";"P-01374";"WC-2003";"T-04";8;"midfielder";"Duus";"Bryony";"1977-10-07";1;0;0;1;0
"188";"P-01384";"WC-2015";"T-17";6;"defender";"Sánchez";"Carol";"1986-04-16";1;0;1;0;0
"189";"P-01401";"WC-2006";"T-77";12;"defender";"Akoto";"Eric";"1980-07-20";0;0;1;0;0
"190";"P-01406";"WC-1958";"T-36";22;"goal keeper";"Ilku";"István";"1933-03-06";0;1;0;0;0
"191";"P-01406";"WC-1962";"T-36";22;"goal keeper";"Ilku";"István";"1933-03-06";0;1;0;0;0
